year,pollen_bouleau_avg,pollen_bouleau_avg_pred
1995,47.40983606557377,75.14228272538776
1996,123.33333333333333,76.15283106893321
1997,83.54054054054055,77.16337941247889
1998,38.92063492063492,78.17392775602434
1999,96.0754716981132,79.18447609957002
2000,44.77272727272727,80.19502444311547
2001,75.59375,81.20557278666115
2002,49.2,82.2161211302066
2003,97.1044776119403,83.22666947375228
2004,52.77142857142857,84.23721781729773
2005,91.64912280701755,85.24776616084341
2006,104.08163265306122,86.25831450438886
2007,170.4090909090909,87.26886284793454
2008,50.766666666666666,88.27941119148022
2009,147.20833333333334,89.28995953502567
2010,102.5,90.30050787857135
2011,86.71428571428571,91.3110562221168
2012,97.01923076923077,92.32160456566248
2013,82.80851063829788,93.33215290920793
2014,81.1044776119403,94.34270125275361
2015,78.58536585365853,95.35324959629907
2016,87.64615384615385,96.36379793984474
2017,88.31111111111112,97.3743462833902
2018,195.8448275862069,98.38489462693587
2019,42.54385964912281,99.39544297048133
2020,121.125,100.405991314027
2021,42.431372549019606,101.41653965757246
2022,85.11940298507463,102.42708800111814
2023,124.81818181818181,103.43763634466382